url,status_code,status_code_meaning,reachable,redirected,final_url,redirect_chain,checked_at
https://calendar.google.com/calendar,200,OK,yes,False,https://calendar.google.com/calendar,[],2025-06-26T18:15:58.786366
https://calendar.google.com/calendar/u/0/404,200,OK,yes,False,https://calendar.google.com/calendar/u/0/404,[],2025-06-26T18:15:58.858538
https://example.com/page?query=2#/,404,Not Found,No,False,https://example.com/page?query=2,[],2025-06-26T18:15:59.560140
https://github.com,200,OK,yes,False,https://github.com/,[],2025-06-26T18:15:59.622034
https://google.com,200,OK,yes,True,https://www.google.com/,['https://google.com/'],2025-06-26T18:15:59.699071
https://google.com/404,404,Not Found,No,False,https://google.com/404,[],2025-06-26T18:15:59.863772
https://translate.google.com/,200,OK,yes,False,https://translate.google.com/,[],2025-06-26T18:16:00.065924
https://translate.google.com/%20404,404,Not Found,No,False,https://translate.google.com/%20404,[],2025-06-26T18:16:00.224182
https://translate.google.com/404,404,Not Found,No,False,https://translate.google.com/404,[],2025-06-26T18:16:00.391178
https://www.example.com/404,404,Not Found,No,False,https://www.example.com/404,[],2025-06-26T18:16:01.034797
https://www.github.com/thispagedoesnotexist,404,Not Found,No,True,https://github.com/thispagedoesnotexist,['https://www.github.com/thispagedoesnotexist'],2025-06-26T18:16:01.256807
https://www.google.com,200,OK,yes,False,https://www.google.com/,[],2025-06-26T18:16:01.303760
https://www.google.com/404,404,Not Found,No,False,https://www.google.com/404,[],2025-06-26T18:16:01.461430
https://www.google.com/search#about,200,OK,yes,False,https://www.google.com/search,[],2025-06-26T18:16:01.524889
https://www.nonexistentwebsite12345.com,Error,Unreachable or Timed Out,No,Error,Error,Error,2025-06-26T18:16:02.542948
https://www.openai.com,403,Forbidden,No,False,https://www.openai.com/,[],2025-06-26T18:16:02.640602
https://www.python.org,200,OK,yes,False,https://www.python.org/,[],2025-06-26T18:16:02.686944
https://www.wikipedia.org,200,OK,yes,False,https://www.wikipedia.org/,[],2025-06-26T18:16:02.803245
https://www.youtube.com/,200,OK,yes,False,https://www.youtube.com/,[],2025-06-26T18:16:03.066419
https://www.youtube.com/404,404,Not Found,No,False,https://www.youtube.com/404,[],2025-06-26T18:16:03.113891
